"","S1","S2","S3","S4","S5","S6","S8","S9"
"1700110K17Rik",20,17,12,22,8,22,18,2
"1700112H15Rik",17,2,4,4,1,3,2,5
"1700113A16Rik",302,214,147,224,156,253,260,108
"1700119H24Rik",13,2,2,0,0,0,0,0
"1700120B22Rik",24,18,20,11,26,10,35,2
"1700120C14Rik",15,8,6,12,14,16,25,2
"1700120K04Rik",8,6,4,8,8,3,20,6
"1700122E12Rik",4,5,2,0,1,3,2,0
"1700123M08Rik",23,5,16,11,5,1,11,8
"1700123O20Rik",1737,1124,846,834,678,780,786,561
"1700124L16Rik",1,3,1,1,0,3,4,0
"1700126G02Rik",35,40,26,24,36,25,40,6
"1700128F08Rik",2,2,2,0,1,2,0,0
"1810006J02Rik",98,43,32,38,30,63,78,34
"1810008B01Rik",10,24,29,26,27,10,10,7
"1810008I18Rik",0,8,4,0,2,0,0,0
"1810009A15Rik",850,578,400,402,248,415,384,259
"1810009J06Rik",18,34,84,18,142,34,288,14
"1810010H24Rik",11,4,4,3,1,2,6,1
"1810012K08Rik",72,58,66,52,60,36,54,25
"1810013L24Rik",3180,2439,1509,1865,1532,2101,1867,1241
"1810014B01Rik",5495,3559,3400,2979,2656,2502,2486,1935
"1810018F18Rik",8,0,1,1,1,3,2,5
"1810019D21Rik",12,19,14,10,8,30,8,14
"1810019N24Rik",6,2,6,1,3,0,1,3
"1810020O05Rik",6,0,2,1,2,0,3,0
"1810021B22Rik",33,21,22,21,14,11,16,14
"1810024B03Rik",86,62,40,47,35,53,48,29
"1810026B05Rik",2230,1823,942,1112,1090,2670,2888,1164
"1810028F09Rik",34,12,60,32,32,4,18,68
"1810030O07Rik",2372,1704,1440,1313,1243,1337,1228,1024
"1810034E14Rik",74,63,87,42,60,33,53,47
"1810037I17Rik",6734,4058,2471,3191,1836,4754,4067,1964
"1810041H14Rik",15,5,1,3,10,17,15,6
"1810044D09Rik",11,62,17,16,32,30,29,3
"1810049J17Rik",158,114,114,130,127,92,95,52
"1810053B23Rik",0,1,3,6,2,0,2,0
"1810055G02Rik",614,288,371,452,312,299,251,226
"1810058I24Rik",2355,1774,1201,1478,952,1419,1404,830
"1810059H22Rik",0,0,2,1,1,5,8,0
"1810062G17Rik",0,0,4,3,5,5,10,0
"1810062O18Rik",18,6,13,13,12,16,14,4
"1810064F22Rik",3,1,2,4,4,0,1,1
"1810073O08Rik",1,4,0,2,3,0,0,0
"2010001A14Rik",83,58,48,46,29,55,26,37
"2010001K21Rik",22,14,13,12,15,8,13,10
"2010007H06Rik",0,0,2,0,2,0,0,8
"2010008C14Rik",122,86,61,38,58,79,42,76
"2010009K17Rik",2,9,0,0,4,0,0,4
"2010010A06Rik",0,1,1,0,3,12,4,2
"2010013B24Rik",58,63,15,25,13,89,39,18
"2010016I18Rik",15,1,10,20,20,26,42,5
"2010109A12Rik",22,11,5,8,18,10,44,10
"2010110E17Rik",32,47,1,24,12,29,25,19
"2010110K18Rik",8,16,4,3,2,10,11,6
"2010204K13Rik",42,15,12,16,6,10,5,7
"2010300C02Rik",55,28,49,40,25,10,21,22
"2010308F09Rik",2,9,1,0,0,0,0,0
"2010309G21Rik",0,0,0,4,2,3,2,8
"2010310C07Rik",32,51,2,27,14,36,26,7
"2010315B03Rik",444,291,214,182,227,218,238,229
"2010320M18Rik",194,147,112,115,111,88,99,79
"2010320O07Rik",0,0,0,7,0,3,2,5
"2200002D01Rik",357,154,222,184,108,106,142,71
"2210010C04Rik",2099,1511,3015,1946,3412,1056,1496,4674
"2210011C24Rik",13,16,22,20,12,11,11,10
"2210016F16Rik",2402,1662,1302,1467,1015,1006,1072,817
"2210016L21Rik",748,612,555,470,361,392,477,352
"2210020O09Rik",2,1,0,5,4,0,3,10
"2210406H18Rik",640,494,349,379,312,491,346,363
"2210406O10Rik",4,0,0,3,1,7,0,0
"2210407C18Rik",145,126,215,92,58,11,80,16
"2210408F21Rik",117,94,78,120,46,30,58,39
"2210408I21Rik",74,96,51,26,35,33,38,20
"2210411M09Rik",56,28,22,38,52,38,42,24
"2210412B16Rik",7,0,1,4,2,1,1,3
"2210414B05Rik",0,0,4,3,0,5,1,0
"2210417A02Rik",1,12,15,5,4,11,12,3
"2210418O10Rik",85,89,89,65,54,68,69,41
"2300009A05Rik",204,139,86,105,65,131,86,70
"2310001H17Rik",845,720,329,470,374,840,672,276
"2310001K24Rik",1,1,2,1,2,2,0,0
"2310008N11Rik",0,0,1,0,0,0,12,0
"2310009A05Rik",545,296,230,257,151,262,222,150
"2310009B15Rik",163,148,104,92,86,90,124,30
"2310010J17Rik",186,115,54,108,74,176,127,22
"2310011J03Rik",2008,1235,1054,1042,775,743,937,508
"2310015A10Rik",197,146,117,173,112,172,218,58
"2310022A10Rik",1266,992,870,774,749,460,614,544
"2310022B05Rik",879,560,618,761,593,272,458,366
"2310026L22Rik",13,5,3,3,2,7,9,9
"2310030G06Rik",12,13,39,29,11,3,23,8
"2310033P09Rik",733,440,356,383,275,328,397,247
"2310034G01Rik",46,14,9,16,10,22,17,18
"2310034O05Rik",2,21,6,4,4,0,15,5
"2310039H08Rik",397,292,170,161,138,186,168,137
"2310039L15Rik",8,0,0,0,2,1,0,2
"2310040G07Rik",7,5,0,0,0,0,0,0
"2310040G24Rik",196,195,133,103,124,109,102,71
"2310043L19Rik",5,2,0,12,3,8,6,0
"2310043M15Rik",47,34,22,30,28,30,40,16
"2310043P16Rik",90,82,68,54,71,57,56,52
"2310044K18Rik",1,10,2,2,6,2,6,0
"2310047D07Rik",24,22,1,12,4,15,11,8
"2310057J18Rik",3,1,1,1,6,3,2,0
"2310057M21Rik",266,152,144,135,116,146,160,78
"2310058D17Rik",87,78,37,56,47,64,49,15
"2310061I04Rik",551,411,396,347,302,393,315,356
"2310068J16Rik",32,14,12,6,19,14,34,4
"2310074N15Rik",2,4,1,0,2,0,2,4
"2410002F23Rik",534,513,305,250,236,385,333,193
"2410004B18Rik",645,467,414,389,309,468,486,256
"2410004P03Rik",1,1,7,4,2,2,2,5
"2410006H16Rik",1362,1194,870,874,1030,970,1231,504
"2410018L13Rik",10,9,7,8,6,6,6,5
"2410022M11Rik",48,32,30,20,13,14,22,7
"2410080I02Rik",8,5,5,3,2,3,2,0
"2410131K14Rik",474,487,323,344,269,344,299,213
"2410152P15Rik",5,0,6,0,0,0,0,0
"2500002B13Rik",54,39,39,33,17,36,35,14
"2500004C02Rik",88,58,36,43,42,48,42,24
"2510002D24Rik",252,208,147,140,102,172,150,85
"2510009E07Rik",3298,1866,1524,1901,976,2250,1421,1242
"2510016D11Rik",149,69,61,95,46,64,66,53
"2510017J16Rik",26,5,14,13,9,38,18,5
"2510039O18Rik",4515,2955,2591,2860,2240,2635,2352,1912
"2510046G10Rik",50,38,40,28,28,21,28,28
"2600006K01Rik",5,2,2,8,8,4,6,0
"2600014E21Rik",4,7,1,0,0,0,0,0
"2610001A08Rik",3,6,0,0,1,2,2,0
"2610001J05Rik",3480,2087,1768,1815,1229,1378,1730,1223
"2610002M06Rik",1110,844,666,584,614,766,739,559
"2610005L07Rik",320,268,203,160,209,230,260,88
"2610008E11Rik",157,193,144,102,131,163,141,111
"2610012C04Rik",0,4,0,1,1,11,3,2
"2610017A05Rik",1,1,0,1,1,0,1,2
"2610020C07Rik",473,300,224,250,178,240,244,196
"2610021A01Rik",198,208,192,124,164,168,174,161
"2610024D14Rik",0,5,2,2,1,0,0,0
"2610027K06Rik",27,10,22,16,18,22,16,16
"2610028D06Rik",0,8,1,5,3,0,6,0
"2610028H24Rik",10,6,6,5,3,2,10,2
"2610035D17Rik",148,78,76,90,66,110,110,84
"2610037D02Rik",62,62,18,18,26,96,91,34
"2610044O15Rik8",210,172,166,108,148,150,164,102
"2610203C22Rik",63,22,40,31,10,66,28,31
"2610206C17Rik",37,37,42,22,23,22,20,14
"2610301B20Rik",248,186,171,129,132,129,149,134
"2610306M01Rik",75,87,32,30,44,35,52,28
"2610306O10Rik",0,0,2,3,5,5,13,2
"2610307P16Rik",6,2,8,5,0,12,2,0
"2610318N02Rik",120,72,58,62,25,65,49,32
"2610507B11Rik",6523,6626,6286,4731,5596,4175,4476,3607
"2610507I01Rik",76,91,60,50,72,76,147,36
"2610528A11Rik",43,7,7,7,14,11,8,10
"2610528J11Rik",6,7,0,6,2,0,5,5
"2700029L08Rik",10,3,1,7,2,3,6,0
"2700033N17Rik",7,3,3,0,3,0,4,0
"2700038G22Rik",66,21,12,31,23,63,37,31
"2700046G09Rik",18,20,8,14,7,0,21,34
"2700049A03Rik",301,330,272,188,180,268,218,171
"2700054A10Rik",9,12,5,2,2,0,6,0
"2700062C07Rik",392,260,254,196,194,194,168,208
"2700078F05Rik",7,0,1,1,5,18,12,3
"2700081O15Rik",155,82,150,140,84,80,114,48
"2700097O09Rik",215,194,121,172,88,190,237,74
"2700099C18Rik",104,63,56,57,27,113,96,44
"2810001G20Rik",113,57,53,42,43,58,45,46
"2810002D19Rik",306,269,180,158,146,208,185,142
"2810004N23Rik",1049,796,536,597,430,535,564,342
"2810006K23Rik",425,370,255,236,239,218,196,196
"2810013P06Rik",429,443,196,217,262,551,466,266
"2810021J22Rik",103,122,89,63,59,80,68,91
"2810025M15Rik",321,208,332,287,97,271,184,189
"2810029C07Rik",28,0,7,3,3,0,12,8
"2810039B14Rik",30,32,9,21,15,24,17,1
"2810047C21Rik1",8,7,4,6,2,6,2,7
"2810402E24Rik",232,166,109,144,78,190,171,83
"2810403D21Rik",76,58,25,23,28,65,43,33
"2810405F17Rik",20,19,5,7,8,12,15,5
"2810408A11Rik",6,8,16,18,15,7,10,10
"2810408I11Rik",58,16,36,28,24,29,30,48
"2810410L24Rik",2,2,5,3,4,0,6,2
"2810414N06Rik",65,36,29,24,33,15,26,43
"2810428J06Rik",10,11,6,4,0,13,9,15
"2810429I04Rik",64,44,28,9,13,24,23,17
"2810430I11Rik",2,0,8,7,6,0,4,0
"2810442N19Rik",6,5,0,4,2,10,6,3
"2810454H06Rik",22,18,6,19,14,22,17,21
"2810455O05Rik",18,38,6,12,7,21,20,7
"2810457G06Rik",0,0,2,3,2,8,0,0
"2810459M11Rik",0,0,0,4,4,0,5,0
"2810468N07Rik",15,0,6,2,1,0,0,3
"2900005J15Rik",30,10,12,19,2,20,15,1
"2900009J06Rik",3,0,2,3,0,1,1,1
"2900018N21Rik",10,28,10,3,6,9,5,13
"2900026A02Rik",1285,625,555,562,285,350,392,252
"2900041M22Rik",3,7,2,2,2,0,4,0
"2900052L18Rik",8,7,3,5,13,32,31,1
"2900060B14Rik",86,41,31,59,28,142,68,21
"2900076A07Rik",33,40,14,18,14,50,36,10
"2900076G11Rik",0,0,0,0,3,7,6,0
"2900089D17Rik",20,14,27,21,13,38,30,9
"2900092N22Rik",10,0,0,0,0,2,4,0
"2900093K20Rik",25,17,15,21,15,27,27,10
"2900097C17Rik",4496,3605,2901,2767,2594,2752,2437,2020
"3000002C10Rik",150,53,37,53,34,41,56,38
"3010001F23Rik",0,4,2,0,2,0,0,2
"3010003L21Rik",40,21,21,27,6,8,19,16
"3110001I22Rik",173,227,112,104,130,140,162,86
"3110009E18Rik",102,78,67,68,45,49,42,47
"3110021N24Rik",2,8,4,1,4,0,2,0
"3110039M20Rik",5,6,8,20,9,0,22,0
"3110040N11Rik",379,309,190,238,150,207,207,167
"3110045C21Rik",6,10,7,4,1,6,3,1
"3110053B16Rik",8,13,12,17,16,19,12,8
"3110056K07Rik",268,238,122,131,157,271,201,164
"3110067C02Rik",2,7,0,5,2,5,2,2
"3110070M22Rik",9,12,3,8,7,4,8,3
"3110080O07Rik",75,34,11,16,4,18,30,1
"3110082I17Rik",1553,934,646,856,523,750,752,446
"3110083C13Rik",11,10,4,7,8,15,10,13
"3200001D21Rik",5,3,4,2,0,6,4,2
"3222401L13Rik",15,23,28,24,14,27,6,9
"3300002A11Rik",4,5,2,3,0,4,0,0
"3300002I08Rik",19,8,13,9,6,9,6,4
"3300002P13Rik",3,0,1,4,1,20,0,4
"3300005D01Rik",15,44,26,39,10,36,39,19
"3830403N18Rik",30,119,32,67,12,42,62,8
"3830406C13Rik",1266,906,680,642,563,584,679,602
"3830408C21Rik",9,17,16,8,3,8,9,7
"3830432H09Rik",1,6,1,4,2,6,3,3
"3930402G23Rik",6,8,3,2,3,2,1,3
"4430402I18Rik",14,8,9,11,5,16,8,0
"4632404H12Rik",159,99,74,80,59,119,88,48
"4632411P08Rik",0,5,1,3,3,3,0,0
"4632415L05Rik",230,298,192,146,148,199,149,122
"4632418H02Rik",8,15,10,4,7,0,9,4
"4632427E13Rik",137,100,37,69,39,176,224,37
"4632428C04Rik",19,9,15,18,18,25,28,6
"4632433K11Rik",10,7,7,7,5,10,18,2
"4731419I09Rik",608,492,580,513,578,268,356,248
"4732414G09Rik",39,2,6,7,9,23,19,13
"4732416N19Rik",14,16,14,4,8,20,22,10
"4732419C18Rik",67,18,28,47,7,16,21,10
"4732440D04Rik",22,44,18,30,34,76,66,20
"4732463B04Rik",3,1,0,3,1,4,1,0
"4732465J04Rik",132,161,40,131,77,244,169,48
"4732471J01Rik",256,228,156,152,200,158,183,98
"4732487G21Rik",348,235,190,186,166,204,182,126
