"","S1","S2","S3","S4","S5","S6","S8","S9"
"Gm49172",830,790,598,682,464,643,824,377
"Gm49173",2,5,0,6,2,2,3,0
"Gm49179",6,6,10,2,3,3,5,6
"Gm49189",5,9,0,5,1,8,23,1
"Gm4919",0,2,1,0,4,3,0,0
"Gm49190",224,176,138,149,146,126,111,91
"Gm49192",22,18,9,13,13,12,12,7
"Gm49194",5,3,5,6,8,58,58,5
"Gm49195",0,0,0,4,0,1,1,5
"Gm49196",5,3,2,3,2,16,5,13
"Gm49197",2,0,0,0,1,3,6,0
"Gm49201",16,7,14,5,1,16,11,13
"Gm49204",54,72,24,28,43,78,107,10
"Gm49205",0,2,0,2,3,3,1,0
"Gm49207",353,238,145,182,114,145,168,76
"Gm49214",0,0,2,1,2,4,9,0
"Gm49215",14,10,7,8,5,3,3,3
"Gm49216",14,6,3,2,10,4,2,3
"Gm49218",6,4,2,3,2,1,2,1
"Gm49223",3,3,2,4,4,6,4,0
"Gm49226",79,112,19,55,32,170,300,18
"Gm49227",424,368,428,444,460,218,274,158
"Gm49228",5,4,0,3,0,4,10,0
"Gm49230",6,22,3,5,2,12,15,1
"Gm4924",58,20,39,25,24,33,23,20
"Gm49244",2,9,2,5,4,1,5,12
"Gm49249",16,6,3,14,2,8,7,7
"Gm49258",0,0,0,0,3,9,5,7
"Gm49260",10,0,1,0,0,0,0,0
"Gm49262",20,8,8,11,7,10,11,3
"Gm4928",85,70,50,35,26,59,44,55
"Gm49284",43,54,40,17,35,73,54,34
"Gm4929",31,20,22,19,8,12,6,16
"Gm49296",0,0,4,0,0,2,7,0
"Gm49299",60,62,50,39,24,58,45,14
"Gm49300",12,0,1,5,2,19,8,3
"Gm49307",26,22,9,6,3,45,53,2
"Gm49318",27,23,10,20,8,6,22,6
"Gm49320",142,204,137,118,158,86,146,54
"Gm49322",930,612,583,609,438,368,401,394
"Gm49323",14,13,13,12,8,10,12,2
"Gm49325",563,382,347,292,288,295,270,232
"Gm49326",18,0,4,1,8,7,0,0
"Gm49327",7,13,14,14,9,8,9,12
"Gm49328",2,0,3,2,3,1,1,2
"Gm49329",6,1,3,10,4,1,9,1
"Gm49331",87,103,54,50,65,70,78,58
"Gm49333",111,66,44,46,46,28,52,17
"Gm49336",2582,1858,1307,1451,1250,1508,1540,921
"Gm49337",0,1,0,4,2,3,4,0
"Gm49338",160,149,114,98,123,122,122,95
"Gm49339",19108,12772,7130,11661,7853,18129,19292,6719
"Gm49342",2929,2456,1702,1633,1691,1115,1510,1070
"Gm49344",0,1,4,0,2,0,6,0
"Gm49345",59,82,57,42,65,53,53,18
"Gm49346",3,1,2,1,2,5,7,4
"Gm49349",3,5,0,3,1,1,5,0
"Gm4935",6,5,6,2,6,1,3,3
"Gm49354",435,399,221,288,253,413,350,178
"Gm49355",150,124,92,86,78,70,106,107
"Gm49356",872,545,430,451,332,360,449,259
"Gm49357",6,0,1,0,1,2,0,0
"Gm49358",22,46,28,21,50,29,26,6
"Gm49359",285,264,185,163,146,208,209,178
"Gm49361",220,247,208,174,301,167,213,120
"Gm49364",13,20,10,10,11,12,12,5
"Gm49368",18050,14333,12333,16126,12129,10991,11933,5450
"Gm49369",21871,18271,21814,19519,13411,14911,14686,10174
"Gm49371",18,15,5,17,10,33,17,9
"Gm49373",244,171,155,131,95,122,130,73
"Gm49376",125,89,56,72,46,91,62,46
"Gm49377",2,2,2,2,2,1,1,1
"Gm49378",859,556,530,480,358,350,416,394
"Gm4938",65,51,43,41,29,27,34,26
"Gm49380",218,135,164,132,123,111,126,108
"Gm49383",5709,3807,2590,2484,1842,2474,2839,1666
"Gm49384",205,186,98,59,58,100,69,68
"Gm49387",65,54,44,52,48,32,69,46
"Gm49388",1258,986,818,769,810,707,767,476
"Gm4939",34,26,25,28,28,18,20,16
"Gm49391",283,260,314,321,139,233,287,212
"Gm49392",65,60,81,80,30,68,62,60
"Gm49393",20,24,24,27,9,2,17,7
"Gm49394",3,0,3,0,0,0,4,6
"Gm49395",204,159,107,147,78,95,123,73
"Gm49396",691,420,351,328,235,328,373,200
"Gm4940",2,2,4,2,2,2,2,4
"Gm49405",224,141,122,106,68,109,150,53
"Gm49410",0,0,0,1,0,0,6,7
"Gm49413",1,0,1,1,1,1,2,2
"Gm49416",670,492,364,333,240,357,307,216
"Gm49417",13,21,30,13,10,20,27,18
"Gm49437",11,0,1,0,1,0,0,0
"Gm49442",0,10,8,10,6,2,4,4
"Gm49449",0,1,0,1,1,5,0,7
"Gm4945",3,0,1,2,0,1,1,1
"Gm49450",3945,2516,2229,2273,1501,2032,1959,1557
"Gm49459",3,0,2,0,1,0,2,2
"Gm49463",23,18,18,22,23,18,24,18
"Gm49474",67,65,17,21,17,59,83,15
"Gm49475",11,24,22,27,20,10,20,10
"Gm49476",26,28,29,20,50,30,29,16
"Gm49478",12,8,0,1,1,1,9,0
"Gm4948",6,2,2,4,6,2,2,0
"Gm49482",232,184,78,188,89,184,106,81
"Gm49483",0,0,3,0,1,0,4,4
"Gm49484",0,2,1,2,1,23,5,0
"Gm49486",70,39,55,46,48,52,58,22
"Gm4949",14,4,22,13,18,20,8,11
"Gm49490",8,0,0,1,0,4,0,1
"Gm49492",8,13,5,4,5,7,6,7
"Gm49493",222,190,160,136,98,126,144,96
"Gm49494",6,5,6,1,1,0,4,0
"Gm49496",724,596,486,488,464,524,518,302
"Gm49499",13,9,11,5,4,14,13,3
"Gm4950",364,222,154,166,107,136,140,91
"Gm49500",26,26,16,14,18,31,12,16
"Gm49502",13,19,1,7,7,5,13,1
"Gm49503",2,6,0,0,3,3,0,0
"Gm49504",5,1,1,2,1,2,4,0
"Gm4951",194,350,242,123,647,148,282,570
"Gm49510",2009,1614,1239,1183,1355,1652,1150,953
"Gm49513",173,97,112,120,98,76,86,62
"Gm49518",15,9,2,4,2,1,0,3
"Gm49519",12,10,13,6,6,8,12,0
"Gm49520",0,3,0,0,3,1,2,0
"Gm49521",34,18,14,15,16,12,34,8
"Gm49522",7,9,1,0,0,0,5,0
"Gm49527",166,193,134,140,96,98,108,71
"Gm49539",32,15,11,8,1,21,23,6
"Gm49544",48,44,50,54,29,51,69,18
"Gm49550",4,1,1,0,3,2,0,0
"Gm49553",3,16,3,5,5,1,8,6
"Gm4956",72,83,42,58,51,82,121,35
"Gm49565",15,0,4,1,5,12,18,0
"Gm49573",3,0,0,0,0,7,5,0
"Gm49579",8,0,3,0,1,0,0,0
"Gm49584",4,16,6,12,4,10,16,4
"Gm49586",7,3,1,1,0,5,11,0
"Gm49588",0,1,5,0,1,0,4,0
"Gm4959",11,6,10,10,7,2,7,5
"Gm49590",5,3,0,0,0,0,3,0
"Gm49591",0,2,0,0,0,1,3,4
"Gm49592",6,0,0,4,0,0,0,0
"Gm49594",4144,2622,2309,2084,1691,1583,1898,1378
"Gm49595",2,6,4,4,8,2,6,0
"Gm49599",64,77,43,39,28,82,132,40
"Gm4960",1,10,2,3,3,0,6,3
"Gm49600",10,6,5,11,6,5,12,4
"Gm49601",94,62,65,52,54,87,114,33
"Gm49602",85,111,44,51,54,64,67,40
"Gm4961",4,10,4,10,4,2,2,7
"Gm49616",0,3,2,3,0,0,0,2
"Gm49617",0,0,0,0,2,6,2,0
"Gm49625",6,3,2,5,2,0,22,0
"Gm49626",2,2,2,2,4,2,6,0
"Gm49628",2,4,2,1,1,0,12,0
"Gm4963",780,489,444,343,289,253,337,247
"Gm49654",49,52,49,57,89,86,154,36
"Gm49661",5,6,12,8,11,8,4,0
"Gm49662",18,14,8,9,10,11,21,7
"Gm49663",8,13,7,7,4,6,6,3
"Gm49668",120,125,68,82,72,99,106,38
"Gm49673",3542,2629,2239,2029,1854,1810,1724,1794
"Gm4968",9,7,5,13,2,3,12,0
"Gm49684",5,4,2,0,3,4,6,0
"Gm49685",3,0,1,2,1,0,1,1
"Gm49686",10,9,6,3,5,5,3,2
"Gm49691",4,0,2,0,1,3,2,0
"Gm49693",8,0,0,0,1,1,2,0
"Gm49694",2,0,0,3,0,6,1,3
"Gm49700",0,4,4,3,2,7,7,2
"Gm49703",7,8,5,0,0,9,1,8
"Gm49704",0,3,1,3,1,3,0,2
"Gm49705",16,27,13,9,4,28,26,1
"Gm49708",1,8,3,2,1,1,2,2
"Gm49711",44,38,43,42,25,16,29,20
"Gm49712",2,4,1,0,0,0,3,0
"Gm49713",5,9,5,10,6,4,5,6
"Gm49719",126,96,87,80,121,108,120,49
"Gm4972",95,105,56,63,77,94,80,50
"Gm49720",149,85,66,63,53,99,87,96
"Gm49721",3486,2602,2200,1977,1829,1814,1701,1783
"Gm49727",122,108,81,76,66,60,62,43
"Gm4973",97,62,42,32,55,29,44,25
"Gm49730",32,25,12,10,20,9,17,0
"Gm49731",6,13,5,0,10,8,7,10
"Gm49733",60,12,21,12,6,15,10,13
"Gm49739",190,150,84,102,60,118,108,77
"Gm49741",11,3,0,3,1,13,8,0
"Gm49744",4,4,2,0,0,4,1,0
"Gm49745",2,7,1,3,4,11,9,5
"Gm49747",38,11,10,15,12,36,16,3
"Gm49749",22,7,8,6,4,16,11,2
"Gm49751",0,3,0,0,10,0,1,6
"Gm49759",3959,2933,1732,3365,2242,2542,3081,798
"Gm49760",27,25,12,9,14,7,16,6
"Gm49762",0,8,2,3,0,3,0,0
"Gm49763",2,0,2,2,0,0,0,2
"Gm49766",10,4,1,0,2,3,10,4
"Gm49767",24,8,5,4,3,19,18,2
"Gm49768",0,0,6,7,4,8,1,5
"Gm4977",4664,3165,2572,2260,2118,2175,2532,2158
"Gm49774",72,62,32,73,34,126,166,39
"Gm49776",1603,1153,823,768,556,719,719,602
"Gm4978",6,6,4,2,3,1,2,2
"Gm49783",18,22,27,18,22,42,56,11
"Gm49784",7,0,0,6,2,2,2,0
"Gm49785",15,0,4,9,5,2,6,3
"Gm49797",464,390,180,213,173,210,200,136
"Gm49801",4,16,19,14,17,13,18,8
"Gm49802",3,4,5,0,1,5,0,0
"Gm49803",8,7,0,0,0,0,3,5
"Gm49804",7861,5081,4228,4225,3398,3573,4312,2801
"Gm49817",0,2,2,1,0,4,4,0
"Gm49832",197,139,124,111,86,64,83,61
"Gm49838",11,3,1,0,3,0,5,0
"Gm49839",56,28,11,8,9,29,12,5
"Gm49848",4,5,2,2,0,0,0,0
"Gm4986",24,7,5,8,7,3,6,7
"Gm49861",0,3,4,1,0,1,3,0
"Gm49863",2,2,6,6,8,2,2,4
"Gm49864",0,5,3,4,4,18,6,0
"Gm49867",77,60,26,48,37,60,78,26
"Gm4987",96,79,62,57,47,40,31,43
"Gm49870",4,0,1,8,1,1,9,4
"Gm49871",15,8,4,1,2,3,3,7
"Gm49874",158,160,130,112,126,142,172,69
"Gm49879",141,84,65,83,47,56,60,59
"Gm49883",21,16,17,22,7,13,34,16
"Gm49886",34,14,10,12,8,29,21,17
"Gm49888",20,42,12,14,6,19,44,2
"Gm49890",15,0,2,11,0,7,7,6
"Gm49891",6,0,1,4,1,0,5,0
"Gm49894",8,8,3,4,4,6,6,14
"Gm49901",17,1,1,6,0,2,9,0
"Gm49902",1,11,2,0,5,13,8,3
"Gm49905",2,1,1,2,0,1,2,0
"Gm49909",17635,11473,8440,9512,7252,9151,8958,6340
"Gm4991",8,10,10,5,6,3,6,4
"Gm49911",24,7,4,10,12,3,30,16
"Gm49914",18,16,8,16,16,15,19,4
"Gm49915",2,5,1,0,0,8,15,8
"Gm4992",26,21,14,29,22,11,24,18
"Gm49920",12,25,4,8,4,20,10,26
"Gm49925",26,22,20,28,14,7,14,9
"Gm49927",3,6,0,0,3,0,2,0
"Gm49928",0,4,2,0,4,0,2,0
"Gm4993",12,2,5,4,2,6,2,4
"Gm49933",103,40,46,48,36,28,34,24
"Gm49935",3,0,1,0,1,0,8,0
"Gm49936",6,0,1,2,0,0,2,0
"Gm49947",88,35,24,25,72,77,144,51
"Gm49948",1,0,4,4,2,0,9,0
"Gm4995",28,15,16,29,15,11,17,6
"Gm49952",2,3,1,1,3,2,0,0
"Gm49954",18,6,10,13,10,6,16,4
"Gm49958",10,11,1,9,0,4,4,0
"Gm49960",13,16,2,20,11,21,14,3
"Gm49964",0,2,0,2,1,2,2,1
"Gm49967",2,2,1,1,3,0,1,0
"Gm49968",3,0,0,3,1,0,5,3
"Gm4997",30,17,16,12,20,19,20,18
"Gm49971",8,2,4,3,2,11,15,0
"Gm49972",0,2,0,3,4,5,6,0
"Gm49980",258,274,196,191,103,255,320,106
"Gm49987",71,52,47,41,33,25,36,12
"Gm49990",0,0,5,6,0,3,8,0
"Gm50006",4,4,2,2,3,1,0,2
"Gm50009",0,3,2,0,2,1,4,0
"Gm50010",148,106,52,42,45,134,86,76
"Gm50012",297,206,52,116,122,302,300,93
"Gm50019",0,0,3,5,3,0,4,0
"Gm50021",1,7,0,0,0,0,4,0
"Gm50022",5,0,2,2,3,7,0,0
"Gm50023",2,4,4,0,0,1,0,0
"Gm50035",1,6,2,0,10,3,1,1
"Gm50037",216,148,106,118,88,107,102,72
"Gm50041",44,21,15,28,19,24,26,18
"Gm50042",6,2,2,1,2,1,4,1
"Gm50044",2,13,6,4,8,1,6,4
"Gm50045",137,148,89,69,55,165,183,86
"Gm50058",7,2,6,4,6,1,2,2
"Gm50068",2,2,2,6,0,0,0,3
"Gm50069",69,55,34,24,44,62,69,14
"Gm50070",8,0,9,9,4,10,16,0
"Gm50071",2,18,0,4,2,11,6,0
"Gm50081",123,111,102,77,74,102,102,69
"Gm50083",129,70,40,60,60,56,54,44
"Gm50087",60,50,32,36,31,28,34,25
"Gm50092",6,8,3,4,2,6,7,2
"Gm50096",42,41,34,44,38,50,58,34
"Gm50103",10,14,12,8,5,14,31,1
"Gm50105",60,32,33,31,17,61,58,32
"Gm50106",10,14,19,4,18,14,16,8
"Gm50107",35,13,15,27,20,48,66,29
"Gm50108",2,7,4,2,5,5,6,4
"Gm50115",4,4,10,5,5,10,14,2
"Gm50130",8,20,11,22,13,18,13,2
"Gm50139",1800,1398,1132,980,931,998,930,886
"Gm50143",0,1,0,1,0,14,1,0
"Gm50144",5,0,0,1,0,3,2,2
"Gm50149",0,2,0,0,4,0,0,2
"Gm50152",0,3,9,0,2,4,9,10
"Gm50156",4,0,2,2,3,4,2,6
"Gm50163",309,261,189,176,165,182,184,133
"Gm50166",80,26,39,40,24,24,35,22
"Gm50169",408,336,240,254,273,354,283,229
"Gm50174",4,4,4,1,3,0,1,5
"Gm50178",118,127,86,96,62,154,110,120
"Gm50184",9,3,6,6,3,1,3,1
"Gm50185",5,5,2,4,4,5,3,3
"Gm50186",4,0,0,0,0,6,9,0
"Gm50196",12,8,0,1,0,2,9,4
"Gm50203",24,50,34,24,42,26,30,18
"Gm50204",10,4,2,4,6,2,1,0
"Gm50205",38,46,28,24,31,30,21,24
"Gm50209",8,4,7,8,6,10,4,2
"Gm50210",2,1,3,0,2,0,1,0
"Gm50211",21,17,2,6,5,20,23,5
"Gm50217",2,4,3,1,3,16,0,5
"Gm50221",18,9,2,11,2,20,13,4
"Gm50222",4,2,2,2,0,0,0,2
"Gm50226",4,23,3,3,6,1,15,0
"Gm50228",8,0,1,1,1,0,5,0
"Gm50230",188,108,103,135,118,125,203,63
"Gm50232",13,20,10,13,14,5,22,0
"Gm50237",0,5,1,0,7,1,8,0
"Gm50240",133,123,96,80,58,180,122,58
"Gm50241",1981,1374,1247,1368,1109,982,1049,636
"Gm50244",24,14,12,12,6,14,13,4
"Gm50250",14,7,1,4,5,5,16,2
"Gm50251",472,300,298,310,280,183,228,165
"Gm50252",82,64,50,67,54,55,58,23
"Gm50253",322,242,162,186,168,215,172,103
"Gm50254",30,37,20,28,20,34,23,18
"Gm50256",3,0,2,7,2,0,1,0
"Gm50263",32,14,11,16,6,8,2,3
"Gm50273",0,5,7,2,11,7,19,0
"Gm50275",8,5,2,1,4,23,21,2
"Gm50276",4,0,0,4,1,2,4,0
"Gm50277",25,78,11,18,26,78,19,19
"Gm50287",23,18,9,4,10,16,21,2
"Gm50301",9,6,22,12,12,8,14,2
"Gm50307",2,0,2,0,2,0,2,2
"Gm50311",23,8,16,20,14,13,8,0
"Gm50315",13,32,34,24,26,14,15,9
"Gm50318",20,46,18,4,18,10,19,20
"Gm50321",2,11,11,14,1,1,2,1
"Gm50322",38,17,12,14,22,36,54,13
"Gm50323",0,3,0,2,2,20,6,4
"Gm50333",3,0,0,1,2,4,0,0
"Gm50334",5,0,2,2,3,1,1,8
"Gm50335",0,0,3,0,2,2,5,0
"Gm50336",8,1,4,5,2,6,9,1
"Gm50340",42,58,24,42,26,61,64,22
"Gm50341",8,4,0,1,1,2,1,3
"Gm50343",7,5,1,4,6,11,3,13
"Gm50345",28,9,8,7,12,13,24,17
"Gm50346",51,97,14,25,37,74,102,51
"Gm50360",3,1,2,2,0,10,5,4
"Gm50364",1009,721,581,570,438,535,580,382
"Gm50367",260,161,168,182,109,103,154,86
"Gm50368",3,7,1,0,0,0,0,0
"Gm5037",21,3,10,7,6,6,4,9
"Gm50371",1104,708,546,621,511,780,662,562
"Gm50373",10,10,6,10,6,12,18,15
"Gm50381",7,7,3,4,3,4,3,2
"Gm50383",6,8,2,4,3,13,22,2
"Gm50387",1778,1190,1023,922,919,847,925,867
"Gm50388",1393,1036,878,796,696,808,878,536
"Gm5039",10,8,2,10,4,7,7,7
"Gm50390",4,2,2,0,5,0,7,0
"Gm50392",0,4,3,1,1,0,0,2
"Gm50393",5,0,3,4,6,15,11,0
"Gm50394",88,46,36,86,66,37,72,16
"Gm5040",6,1,1,0,0,2,1,2
"Gm50402",1,18,3,4,6,6,11,0
"Gm50419",3,0,0,5,0,0,3,0
"Gm50422",689,495,355,320,270,446,389,437
"Gm5043",0,0,6,6,4,4,3,0
"Gm50431",109,58,42,53,44,62,52,40
"Gm50432",34,10,10,20,8,14,14,2
"Gm50433",52,58,33,26,38,48,31,14
"Gm50438",24,22,4,10,6,14,14,3
"Gm5045",1567,1161,979,821,743,755,961,440
"Gm50452",6,10,1,6,2,12,4,4
"Gm5046",6,1,6,2,4,0,0,0
"Gm5047",47,17,24,12,20,7,11,4
"Gm5050",8,14,3,9,11,22,28,2
"Gm5051",7,3,3,2,2,0,3,4
"Gm5055",35,12,15,10,12,12,15,11
"Gm5063",63,64,45,32,39,32,51,43
"Gm5064",665,476,375,400,355,322,392,259
"Gm5066",6,3,10,3,5,0,2,0
"Gm5067",1,0,2,5,1,0,0,2
"Gm5069",47,17,24,32,24,28,31,22
"Gm5070",6,0,3,5,2,3,1,1
"Gm5073",11,29,11,2,15,0,5,10
"Gm5075",804,488,430,416,325,258,397,199
"Gm5086",311,423,333,147,130,115,152,140
"Gm5089",1,7,2,0,2,0,0,0
"Gm5093",866,615,408,365,308,395,380,302
"Gm5100",3,4,3,6,1,2,4,4
"Gm5106",22,6,6,12,4,0,3,1
"Gm5111",3,0,3,2,0,0,0,0
"Gm5112",30,15,13,21,16,38,36,32
"Gm5113",70,58,55,55,56,54,96,32
"Gm5117",32,58,36,28,38,52,28,30
"Gm5120",43,30,30,18,18,21,44,8
"Gm5121",398,277,220,188,169,136,219,94
"Gm5122",13,5,4,5,2,21,17,5
"Gm5123",4,13,4,2,7,0,2,6
"Gm5127",80,72,58,47,27,49,63,40
"Gm5129",4,5,8,6,6,14,10,12
"Gm5131",43,13,14,18,26,14,24,14
"Gm5134",19,11,15,8,8,7,9,3
"Gm5138",16,20,6,7,5,3,6,0
"Gm5139",16,7,8,13,6,9,9,5
"Gm5141",50,45,24,27,16,20,34,32
"Gm5145",44,41,29,41,20,19,22,25
"Gm5147",2,0,3,1,4,0,0,1
"Gm5148",3664,2576,1988,1834,1559,1619,1994,1091
"Gm5149",0,2,0,4,2,8,8,3
"Gm5150",2804,2526,1173,1533,1330,1777,2069,926
"Gm5160",174,80,74,83,62,51,72,49
"Gm5165",167,154,95,82,74,147,82,86
"Gm5171",254,227,186,167,161,229,169,176
"Gm5173",6,5,3,2,0,2,2,1
"Gm5176",0,7,2,8,0,0,0,2
"Gm5177",6,4,2,4,5,0,4,8
"Gm5181",3,2,6,0,1,1,1,0
"Gm5182",99,106,112,97,116,43,44,23
"Gm5187",10,6,10,15,2,16,4,8
"Gm5191",36,19,25,28,22,22,18,26
"Gm5206",43,17,24,25,28,22,24,14
"Gm5207",12,4,9,15,10,1,7,4
"Gm5210",20,2,12,20,3,7,11,6
"Gm5216",26,16,6,12,6,18,5,11
"Gm5217",0,2,1,1,2,4,4,3
"Gm5221",4,6,2,0,2,1,6,2
"Gm5224",22,2,19,12,10,10,8,6
"Gm5228",17,11,7,14,8,10,14,9
"Gm5230",24,13,8,12,10,9,2,3
"Gm5237",66,30,31,53,40,37,40,24
"Gm5238",0,2,0,2,2,0,0,0
"Gm5239",158,126,104,79,52,74,75,67
"Gm5242",18,6,3,4,4,10,3,6
"Gm525",7,3,0,6,0,0,3,0
"Gm5256",16,9,12,7,10,8,4,7
"Gm5257",2,0,0,0,0,2,0,0
"Gm5259",8,3,3,6,2,3,2,3
"Gm5262",19,9,18,20,14,12,15,5
"Gm5263",198,180,92,120,69,134,154,90
"Gm5264",10,4,3,2,2,0,1,2
"Gm5265",4,5,6,7,3,4,3,1
"Gm5269",7,3,2,4,3,1,0,4
"Gm527",58,27,12,28,24,36,23,15
"Gm5270",7,8,8,9,5,7,5,4
"Gm5272",10,2,2,3,3,2,5,2
"Gm5276",116,51,52,88,60,44,53,23
"Gm5278",8,2,2,3,1,2,0,1
"Gm5281",0,10,2,0,8,7,11,5
"Gm5292",7,2,3,4,1,2,4,2
"Gm5294",3,1,0,4,5,2,6,0
"Gm5297",58,33,51,44,28,23,29,34
"Gm5298",2,12,4,8,3,4,4,4
"Gm5300",4,13,4,8,0,8,4,5
"Gm5302",317,221,164,179,127,133,162,77
"Gm5303",11,10,9,11,4,13,15,4
"Gm5305",3,0,1,1,0,1,2,1
"Gm5308",4,4,2,2,0,1,2,0
"Gm5312",22,10,9,14,11,3,4,3
"Gm5313",8,1,2,3,1,6,4,0
"Gm5315",12,18,4,2,4,12,6,8
"Gm5320",2,1,2,3,1,0,1,0
"Gm5321",19,5,9,3,7,2,4,3
"Gm5322",4,1,4,0,1,2,2,0
"Gm5327",12,2,4,4,2,1,3,2
"Gm5335",20,16,8,11,4,4,5,10
"Gm5340",0,0,1,1,9,1,3,1
"Gm5341",6,2,2,2,0,0,0,0
"Gm5342",11,5,5,19,10,18,9,12
"Gm5345",177,63,56,93,73,72,47,41
"Gm5350",2,1,2,2,1,3,0,0
"Gm5353",5,2,3,2,2,2,0,3
"Gm5356",80,64,42,52,24,34,27,42
"Gm5374",21,4,14,4,12,11,16,2
"Gm5380",8,4,5,4,2,28,35,6
"Gm5384",5,2,2,6,2,2,1,3
"Gm5388",45,37,25,33,23,19,19,15
"Gm5389",4,3,1,2,1,2,0,1
"Gm5391",10,4,2,2,0,2,2,8
"Gm5398",3,0,2,4,0,2,1,0
"Gm5406",25,18,15,20,14,9,16,11
"Gm5408",2,6,2,5,3,1,2,2
"Gm5409",32,21,32,20,49,7,28,28
"Gm5417",70,26,35,43,24,30,42,22
"Gm5421",95,108,81,98,97,54,68,36
"Gm5422",389,302,274,327,252,147,204,98
"Gm5424",1637,829,608,1190,681,297,411,317
"Gm5425",739,502,416,378,248,205,386,191
"Gm5426",3,2,1,1,0,2,2,1
"Gm5430",46,7,8,27,13,13,16,11
"Gm5431",486,841,588,381,587,191,360,317
"Gm5434",82,84,59,52,52,64,46,28
"Gm5435",38,41,19,21,22,42,28,18
"Gm5436",354,256,183,150,122,142,174,114
"Gm5445",9,5,6,4,3,8,7,7
"Gm5446",260,213,149,134,127,166,172,95
"Gm5447",2,0,0,2,1,0,8,2
"Gm5449",15,5,11,5,5,3,6,7
"Gm5451",236,140,148,144,113,68,111,45
"Gm5452",42,34,27,45,22,24,22,11
"Gm5453",1567,1034,760,784,605,658,795,513
"Gm5454",43,26,58,58,28,48,32,36
"Gm5455",21,10,10,6,10,7,5,2
"Gm5456",323,210,169,260,133,124,130,97
"Gm5457",99,44,37,49,40,56,55,44
"Gm5459",41,24,16,16,12,21,19,8
"Gm5461",178,136,117,97,90,89,92,64
"Gm5468",23,7,1,6,7,15,15,0
"Gm5469",33,16,20,16,12,15,13,11
"Gm5470",125,144,68,90,84,110,102,57
"Gm5471",8,6,7,7,5,12,4,1
"Gm5472",45,50,30,22,29,22,16,6
"Gm5473",4,1,1,0,1,3,2,1
"Gm5475",2,0,4,4,2,3,2,0
"Gm5479",4,1,4,2,3,2,0,2
"Gm5481",4,3,3,1,0,1,1,0
"Gm5487",104,110,74,61,50,69,45,56
"Gm5491",39,30,34,31,19,20,23,8
"Gm5492",19,10,10,14,7,3,9,6
"Gm5497",22,16,9,10,5,13,12,3
"Gm5499",202,127,134,110,109,82,85,52
"Gm550",1,0,1,0,0,10,0,0
"Gm5500",152,132,110,127,111,119,92,50
"Gm5503",122,77,73,51,64,40,54,29
"Gm5507",16,3,11,14,14,16,6,0
"Gm5509",54,42,33,32,24,26,18,12
"Gm5510",181,103,145,109,83,88,91,97
"Gm5511",378,333,251,222,184,368,343,166
"Gm5512",135,106,108,67,70,82,88,76
"Gm5513",78,33,54,42,36,29,25,27
"Gm5514",63,81,44,38,51,36,54,40
"Gm5517",68,31,40,47,26,12,28,15
"Gm5518",191,165,121,90,75,157,167,96
"Gm5519",4,2,2,3,3,3,2,0
"Gm5521",582,391,376,376,281,292,349,152
"Gm5523",60,10,22,26,18,18,16,10
"Gm5525",2325,1605,1263,1165,852,1023,1065,981
"Gm5526",6717,4085,3255,3457,2139,2938,3290,1571
"Gm5527",27,29,21,15,13,15,17,13
"Gm5528",13,8,15,6,9,1,5,7
"Gm5529",794,447,469,416,434,210,337,217
"Gm5530",120,88,76,68,58,66,64,18
"Gm5532",0,8,3,4,1,4,8,21
"Gm5535",1,0,7,8,1,3,2,0
"Gm5537",6555,3525,3207,5518,3296,3026,3222,1515
"Gm5539",755,519,409,408,327,547,481,383
"Gm5540",87,48,50,44,58,15,24,44
"Gm5541",6,5,6,2,5,0,0,0
"Gm5544",6,11,7,4,2,9,5,0
"Gm5547",103,69,51,27,56,47,85,22
"Gm5548",9,1,2,5,2,4,6,3
"Gm5550",15,0,1,4,0,1,3,1
"Gm5551",3,4,3,4,4,5,7,2
"Gm5552",15,8,14,12,12,6,8,7
"Gm5555",561,382,303,310,216,274,237,160
"Gm5558",113,55,57,61,47,31,51,35
"Gm5559",1893,1002,771,1081,698,1094,811,848
"Gm5560",823,415,404,433,429,275,394,294
"Gm5561",1043,689,514,498,391,575,523,567
"Gm5564",1336,923,742,731,604,905,835,654
"Gm5566",954,716,538,484,347,274,546,262
"Gm5575",47,40,25,17,20,19,17,19
"Gm5576",69,50,41,35,30,35,35,16
"Gm5577",1261,969,790,905,808,707,775,533
"Gm5578",334,264,232,254,224,154,204,113
"Gm5580",299,214,173,173,128,151,132,84
"Gm5581",12,10,6,3,6,4,10,3
"Gm5582",183,185,100,148,166,162,202,98
"Gm5586",5830,4247,3103,2768,2381,3213,3315,2372
"Gm5587",32,18,18,12,14,14,24,8
"Gm5596",21,28,16,18,14,42,28,25
"Gm5597",83,79,74,73,64,58,87,34
"Gm5599",24,15,10,11,12,28,26,24
"Gm5602",26,11,12,6,4,3,6,10
"Gm5605",47,61,27,8,32,46,36,26
"Gm5608",5,0,0,0,2,9,8,0
"Gm5611",162,118,95,72,84,69,79,72
"Gm5614",9,3,2,3,2,3,5,0
"Gm5616",308,206,159,172,131,147,125,108
"Gm5617",218,176,136,156,99,133,159,120
"Gm5619",235,135,106,116,96,102,97,58
"Gm5620",4173,2856,2265,2232,1428,2424,2161,1848
"Gm5621",539,344,326,304,292,159,234,192
"Gm5626",23,10,15,18,8,6,14,16
